admin_code,occupation_category,occupation_code,occupation_level,wage_value,wage_type,currency,wage_period,wage_measure,year,classification_system,data_availability,source,last_updated,country_iso
SG-NAT,Financial services manager,13461,detailed,11208,basic,SGD,monthly,median_basic_monthly_wage,2025,SSOC_2024_DETAILED,national_only,https://stats.mom.gov.sg/iMAS_Tables1/Wages/Wages_2025/mrsd_2025Wages_table1.xlsx,2026-06-30,SG
SG-NAT,Financial services manager,13461,detailed,11600,gross,SGD,monthly,median_gross_monthly_wage,2025,SSOC_2024_DETAILED,national_only,https://stats.mom.gov.sg/iMAS_Tables1/Wages/Wages_2025/mrsd_2025Wages_table1.xlsx,2026-06-30,SG
SG-NAT,Food and beverage operations manager,14123,detailed,3776,basic,SGD,monthly,median_basic_monthly_wage,2025,SSOC_2024_DETAILED,national_only,https://stats.mom.gov.sg/iMAS_Tables1/Wages/Wages_2025/mrsd_2025Wages_table1.xlsx,2026-06-30,SG
SG-NAT,Food and beverage operations manager,14123,detailed,3980,gross,SGD,monthly,median_gross_monthly_wage,2025,SSOC_2024_DETAILED,national_only,https://stats.mom.gov.sg/iMAS_Tables1/Wages/Wages_2025/mrsd_2025Wages_table1.xlsx,2026-06-30,SG
SG-NAT,Health services manager,13420,detailed,8643,basic,SGD,monthly,median_basic_monthly_wage,2025,SSOC_2024_DETAILED,national_only,https://stats.mom.gov.sg/iMAS_Tables1/Wages/Wages_2025/mrsd_2025Wages_table1.xlsx,2026-06-30,SG
SG-NAT,Health services manager,13420,detailed,8709,gross,SGD,monthly,median_gross_monthly_wage,2025,SSOC_2024_DETAILED,national_only,https://stats.mom.gov.sg/iMAS_Tables1/Wages/Wages_2025/mrsd_2025Wages_table1.xlsx,2026-06-30,SG
SG-NAT,Hotel operations/Lodging services manager,14110,detailed,5000,basic,SGD,monthly,median_basic_monthly_wage,2025,SSOC_2024_DETAILED,national_only,https://stats.mom.gov.sg/iMAS_Tables1/Wages/Wages_2025/mrsd_2025Wages_table1.xlsx,2026-06-30,SG
SG-NAT,Hotel operations/Lodging services manager,14110,detailed,5143,gross,SGD,monthly,median_gross_monthly_wage,2025,SSOC_2024_DETAILED,national_only,https://stats.mom.gov.sg/iMAS_Tables1/Wages/Wages_2025/mrsd_2025Wages_table1.xlsx,2026-06-30,SG
SG-NAT,ICT service manager,13304,detailed,9398,basic,SGD,monthly,median_basic_monthly_wage,2025,SSOC_2024_DETAILED,national_only,https://stats.mom.gov.sg/iMAS_Tables1/Wages/Wages_2025/mrsd_2025Wages_table1.xlsx,2026-06-30,SG
SG-NAT,ICT service manager,13304,detailed,9510,gross,SGD,monthly,median_gross_monthly_wage,2025,SSOC_2024_DETAILED,national_only,https://stats.mom.gov.sg/iMAS_Tables1/Wages/Wages_2025/mrsd_2025Wages_table1.xlsx,2026-06-30,SG
SG-NAT,Industrial relations manager,12122,detailed,6833,basic,SGD,monthly,median_basic_monthly_wage,2025,SSOC_2024_DETAILED,national_only,https://stats.mom.gov.sg/iMAS_Tables1/Wages/Wages_2025/mrsd_2025Wages_table1.xlsx,2026-06-30,SG
SG-NAT,Industrial relations manager,12122,detailed,7804,gross,SGD,monthly,median_gross_monthly_wage,2025,SSOC_2024_DETAILED,national_only,https://stats.mom.gov.sg/iMAS_Tables1/Wages/Wages_2025/mrsd_2025Wages_table1.xlsx,2026-06-30,SG
SG-NAT,Insurance services manager,13462,detailed,11139,basic,SGD,monthly,median_basic_monthly_wage,2025,SSOC_2024_DETAILED,national_only,https://stats.mom.gov.sg/iMAS_Tables1/Wages/Wages_2025/mrsd_2025Wages_table1.xlsx,2026-06-30,SG
