soc_code,title,major_group,national_median_salary_usd,total_employment,income_pct,profession_score
51-9161,Computer Numerically Controlled Tool Operators,51-0000,52678,488980,34.4,34.4
51-9162,Computer Numerically Controlled Tool Programmers,51-0000,71347,72500,59.6,59.6
51-9191,Adhesive Bonding Machine Operators and Tenders,51-0000,47108,23920,23.6,23.6
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-0000,42544,32440,14.7,14.7
51-9193,Cooling and Freezing Equipment Operators and Tenders,51-0000,42024,14890,13.7,13.7
51-9194,Etchers and Engravers,51-0000,46239,10780,22.3,22.3
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",51-0000,46432,82740,22.8,22.8
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",51-0000,52172,271360,33.5,33.5
51-9197,Tire Builders,51-0000,55188,30440,39.3,39.3
51-9198,Helpers--Production Workers,51-0000,39453,436810,9.8,9.8
51-9199,"Production Workers, All Other",51-0000,41383,732410,12.1,12.1
53-1041,Aircraft Cargo Handling Supervisors,53-0000,61417,20690,47.2,47.2
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",53-0000,63543,1819430,50.3,50.3
53-2011,"Airline Pilots, Copilots, and Flight Engineers",53-0000,300794,253480,98.9,98.9
53-2012,Commercial Pilots,53-0000,134763,109100,92.4,92.4
53-2021,Air Traffic Controllers,53-0000,157128,60470,95.8,95.8
53-2022,Airfield Operations Specialists,53-0000,62988,31470,49.3,49.3
53-2031,Flight Attendants,53-0000,69327,279890,56.3,56.3
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-0000,34531,39380,3.1,3.1
53-3031,Driver/Sales Workers,53-0000,38199,1135660,8.0,8.0
53-3032,Heavy and Tractor-Trailer Truck Drivers,53-0000,58023,6075640,43.8,43.8
53-3033,Light Truck Drivers,53-0000,44160,2855270,18.4,18.4
53-3051,"Bus Drivers, School",53-0000,48020,1178580,25.1,25.1
53-3052,"Bus Drivers, Transit and Intercity",53-0000,61263,440590,46.8,46.8
53-3053,Shuttle Drivers and Chauffeurs,53-0000,38131,688910,7.6,7.6
53-3054,Taxi Drivers,53-0000,39269,48330,9.4,9.4
53-3099,"Motor Vehicle Operators, All Other",53-0000,42837,88090,15.7,15.7
53-4011,Locomotive Engineers,53-0000,83959,70680,73.2,73.2
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",53-0000,65186,2500,51.9,51.9
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",53-0000,67711,17010,54.8,54.8
53-4031,Railroad Conductors and Yardmasters,53-0000,78102,85720,66.2,66.2
53-4041,Subway and Streetcar Operators,53-0000,71339,10230,59.4,59.4
53-4099,"Rail Transportation Workers, All Other",53-0000,57749,900,43.3,43.3
53-5011,Sailors and Marine Oilers,53-0000,54550,74110,37.7,37.7
53-5021,"Captains, Mates, and Pilots of Water Vessels",53-0000,97930,88630,81.6,81.6
53-5022,Motorboat Operators,53-0000,59213,1340,45.0,45.0
53-5031,Ship Engineers,53-0000,114799,14530,88.1,88.1
53-6011,Bridge and Lock Tenders,53-0000,57054,6840,42.0,42.0
53-6021,Parking Attendants,53-0000,33878,367090,1.8,1.8
53-6031,Automotive and Watercraft Service Attendants,53-0000,35425,306570,4.4,4.4
53-6032,Aircraft Service Attendants,53-0000,42082,78950,14.0,14.0
53-6041,Traffic Technicians,53-0000,64053,17810,50.7,50.7
53-6051,Transportation Inspectors,53-0000,93263,52700,78.2,78.2
53-6061,Passenger Attendants,53-0000,36400,45160,5.9,5.9
53-6099,"Transportation Workers, All Other",53-0000,49572,14340,28.4,28.4
53-7011,Conveyor Operators and Tenders,53-0000,43775,44580,17.6,17.6
53-7021,Crane and Tower Operators,53-0000,68781,85080,55.7,55.7
53-7031,Dredge Operators,53-0000,50506,240,30.5,30.5
53-7041,Hoist and Winch Operators,53-0000,89084,2450,76.3,76.3
53-7051,Industrial Truck and Tractor Operators,53-0000,46531,2234550,22.9,22.9
53-7061,Cleaners of Vehicles and Equipment,53-0000,35055,1226080,3.8,3.8
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",53-0000,41059,8993020,11.6,11.6
53-7063,Machine Feeders and Offbearers,53-0000,41570,95960,12.5,12.5
53-7064,"Packers and Packagers, Hand",53-0000,35411,1507540,4.3,4.3
53-7065,Stockers and Order Fillers,53-0000,38325,8105950,8.3,8.3
53-7071,Gas Compressor and Gas Pumping Station Operators,53-0000,82728,5230,71.0,71.0
53-7072,"Pump Operators, Except Wellhead Pumpers",53-0000,61801,12770,48.0,48.0
53-7073,Wellhead Pumpers,53-0000,70927,50720,58.5,58.5
53-7081,Refuse and Recyclable Material Collectors,53-0000,53687,424290,35.9,35.9
53-7121,"Tank Car, Truck, and Ship Loaders",53-0000,59288,14020,45.2,45.2
53-7199,"Material Moving Workers, All Other",53-0000,41669,47280,12.7,12.7
