soc_code,title,major_group,national_median_salary_usd,total_employment,income_pct,profession_score
39-5093,Shampooers,39-0000,30292,16320,0.0,0.0
39-5094,Skincare Specialists,39-0000,44886,202200,19.7,19.7
39-6011,Baggage Porters and Bellhops,39-0000,36600,68950,6.0,6.0
39-6012,Concierges,39-0000,42911,103660,15.9,15.9
39-7010,Tour and Travel Guides,39-0000,39633,128020,10.2,10.2
39-9011,Childcare Workers,39-0000,33574,1534730,1.6,1.6
39-9031,Exercise Trainers and Group Fitness Instructors,39-0000,48069,1126800,25.3,25.3
39-9032,Recreation Workers,39-0000,35968,968070,5.5,5.5
39-9041,Residential Advisors,39-0000,42212,248270,14.3,14.3
39-9099,"Personal Care and Service Workers, All Other",39-0000,39184,165180,9.2,9.2
41-1011,First-Line Supervisors of Retail Sales Workers,41-0000,49500,3346410,28.2,28.2
41-1012,First-Line Supervisors of Non-Retail Sales Workers,41-0000,90525,588220,76.7,76.7
41-2011,Cashiers,41-0000,32079,9479600,0.9,0.9
41-2012,Gambling Change Persons and Booth Cashiers,41-0000,36806,66630,6.2,6.2
41-2021,Counter and Rental Clerks,41-0000,42979,1172650,16.2,16.2
41-2022,Parts Salespersons,41-0000,39687,813720,10.5,10.5
41-2031,Retail Salespersons,41-0000,34369,11825230,2.8,2.8
41-3011,Advertising Sales Agents,41-0000,69242,269190,56.2,56.2
41-3021,Insurance Sales Agents,41-0000,63753,1847960,50.4,50.4
41-3031,"Securities, Commodities, and Financial Services Sales Agents",41-0000,86265,1445020,75.0,75.0
41-3041,Travel Agents,41-0000,50324,147940,30.1,30.1
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-0000,72958,3752950,61.9,61.9
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-0000,111027,764400,86.8,86.8
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-0000,70968,3604910,58.6,58.6
41-9011,Demonstrators and Product Promoters,41-0000,43472,154020,17.3,17.3
41-9012,Models,41-0000,54018,1800,36.6,36.6
41-9021,Real Estate Brokers,41-0000,72783,89340,61.7,61.7
41-9022,Real Estate Sales Agents,41-0000,56433,522830,41.1,41.1
41-9031,Sales Engineers,41-0000,130281,109330,91.9,91.9
41-9041,Telemarketers,41-0000,34738,133630,3.2,3.2
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41-0000,38258,1440,8.2,8.2
41-9099,"Sales and Related Workers, All Other",41-0000,51444,208560,32.2,32.2
43-1011,First-Line Supervisors of Office and Administrative Support Workers,43-0000,69547,4440030,56.8,56.8
43-2011,"Switchboard Operators, Including Answering Service",43-0000,42315,76980,14.6,14.6
43-2021,Telephone Operators,43-0000,43920,4580,18.1,18.1
43-2099,"Communications Equipment Operators, All Other",43-0000,56582,1570,41.6,41.6
43-3011,Bill and Account Collectors,43-0000,46625,424480,23.0,23.0
43-3021,Billing and Posting Clerks,43-0000,49266,1174370,27.9,27.9
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",43-0000,51608,4171880,32.4,32.4
43-3041,Gambling Cage Workers,43-0000,37754,38940,7.0,7.0
43-3051,Payroll and Timekeeping Clerks,43-0000,57931,385110,43.6,43.6
43-3061,Procurement Clerks,43-0000,51679,118580,32.7,32.7
43-3071,Tellers,43-0000,41271,971790,11.9,11.9
43-3099,"Financial Clerks, All Other",43-0000,55019,83040,39.0,39.0
43-4011,Brokerage Clerks,43-0000,69390,88100,56.5,56.5
43-4021,Correspondence Clerks,43-0000,50429,2500,30.4,30.4
43-4031,"Court, Municipal, and License Clerks",43-0000,49704,535950,28.5,28.5
43-4041,"Credit Authorizers, Checkers, and Clerks",43-0000,47944,20230,24.8,24.8
43-4051,Customer Service Representatives,43-0000,44213,8093870,18.7,18.7
43-4061,"Eligibility Interviewers, Government Programs",43-0000,54619,450420,37.9,37.9
43-4071,File Clerks,43-0000,44996,158090,20.2,20.2
43-4081,"Hotel, Motel, and Resort Desk Clerks",43-0000,34292,772810,2.7,2.7
43-4111,"Interviewers, Except Eligibility and Loan",43-0000,45797,414170,21.3,21.3
43-4121,"Library Assistants, Clerical",43-0000,37405,252280,6.7,6.7
43-4131,Loan Interviewers and Clerks,43-0000,50864,523500,31.1,31.1
43-4141,New Accounts Clerks,43-0000,48351,105440,25.6,25.6
43-4151,Order Clerks,43-0000,46769,141600,23.1,23.1
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",43-0000,51333,219230,31.9,31.9
43-4171,Receptionists and Information Clerks,43-0000,38143,2794370,7.7,7.7
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,43-0000,44369,311770,19.2,19.2
43-4199,"Information and Record Clerks, All Other",43-0000,49560,372890,28.3,28.3
43-5011,Cargo and Freight Agents,43-0000,53729,263330,36.0,36.0
43-5021,Couriers and Messengers,43-0000,40129,165280,10.9,10.9
43-5031,Public Safety Telecommunicators,43-0000,55189,298510,39.4,39.4
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",43-0000,51539,544460,32.3,32.3
43-5041,"Meter Readers, Utilities",43-0000,55191,47070,39.5,39.5
43-5051,Postal Service Clerks,43-0000,62111,223530,48.5,48.5
43-5052,Postal Service Mail Carriers,43-0000,60515,990510,46.4,46.4
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-0000,57752,318120,43.5,43.5
43-5061,"Production, Planning, and Expediting Clerks",43-0000,59436,1063780,45.3,45.3
43-5071,"Shipping, Receiving, and Inventory Clerks",43-0000,45012,2388350,20.3,20.3
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-0000,47672,119350,24.4,24.4
43-6011,Executive Secretaries and Executive Administrative Assistants,43-0000,76453,1315770,64.7,64.7
43-6012,Legal Secretaries and Administrative Assistants,43-0000,54797,459670,38.4,38.4
43-6013,Medical Secretaries and Administrative Assistants,43-0000,45135,2963000,20.4,20.4
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-0000,47690,5222190,24.5,24.5
43-9021,Data Entry Keyers,43-0000,41553,296920,12.4,12.4
43-9022,Word Processors and Typists,43-0000,49880,95000,28.9,28.9
43-9031,Desktop Publishers,43-0000,56390,2940,40.9,40.9
43-9041,Insurance Claims and Policy Processing Clerks,43-0000,50662,758350,30.7,30.7
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",43-0000,40043,124500,10.8,10.8
43-9061,"Office Clerks, General",43-0000,44203,7675160,18.6,18.6
43-9071,"Office Machine Operators, Except Computer",43-0000,44410,31300,19.3,19.3
43-9081,Proofreaders and Copy Markers,43-0000,54657,4400,38.2,38.2
43-9111,Statistical Assistants,43-0000,54175,4800,37.0,37.0
43-9199,"Office and Administrative Support Workers, All Other",43-0000,45963,505050,21.4,21.4
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-0000,57453,65610,42.8,42.8
45-2011,Agricultural Inspectors,45-0000,52889,35950,34.9,34.9
45-2021,Animal Breeders,45-0000,51107,1460,31.3,31.3
45-2041,"Graders and Sorters, Agricultural Products",45-0000,35602,64460,4.8,4.8
45-2091,Agricultural Equipment Operators,45-0000,41159,69190,11.8,11.8
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",45-0000,35711,760950,5.1,5.1
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",45-0000,36184,73160,5.6,5.6
45-2099,"Agricultural Workers, All Other",45-0000,46772,4950,23.3,23.3
45-4011,Forest and Conservation Workers,45-0000,43170,12070,16.5,16.5
45-4021,Fallers,45-0000,55594,5670,40.1,40.1
45-4022,Logging Equipment Operators,45-0000,51812,57310,32.9,32.9
45-4023,Log Graders and Scalers,45-0000,46175,6610,22.0,22.0
45-4029,"Logging Workers, All Other",45-0000,54452,3090,37.6,37.6
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,47-0000,83762,2650820,72.8,72.8
47-2011,Boilermakers,47-0000,82378,17180,70.3,70.3
47-2021,Brickmasons and Blockmasons,47-0000,67282,182980,54.1,54.1
47-2022,Stonemasons,47-0000,61890,15820,48.2,48.2
47-2031,Carpenters,47-0000,63239,2001690,49.6,49.6
47-2041,Carpet Installers,47-0000,52021,28840,33.3,33.3
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",47-0000,58110,59760,43.9,43.9
47-2043,Floor Sanders and Finishers,47-0000,52207,4000,33.9,33.9
47-2044,Tile and Stone Setters,47-0000,55725,91860,40.4,40.4
47-2051,Cement Masons and Concrete Finishers,47-0000,57218,690940,42.2,42.2
47-2053,Terrazzo Workers and Finishers,47-0000,56408,290,41.0,41.0
47-2061,Construction Laborers,47-0000,49302,3464890,28.0,28.0
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",47-0000,56711,107170,41.7,41.7
47-2072,Pile Driver Operators,47-0000,82864,4070,71.4,71.4
47-2073,Operating Engineers and Other Construction Equipment Operators,47-0000,65087,1413040,51.7,51.7
47-2081,Drywall and Ceiling Tile Installers,47-0000,59060,301890,44.9,44.9
47-2082,Tapers,47-0000,71530,43380,59.9,59.9
47-2111,Electricians,47-0000,67771,2747200,55.0,55.0
47-2121,Glaziers,47-0000,57406,146190,42.6,42.6
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",47-0000,50589,146020,30.6,30.6
47-2132,"Insulation Workers, Mechanical",47-0000,64977,76270,51.5,51.5
47-2141,"Painters, Construction and Maintenance",47-0000,53041,764790,35.1,35.1
47-2142,Paperhangers,47-0000,53048,1570,35.3,35.3
47-2151,Pipelayers,47-0000,52977,86120,35.0,35.0
47-2152,"Plumbers, Pipefitters, and Steamfitters",47-0000,69044,1641870,55.9,55.9
47-2161,Plasterers and Stucco Masons,47-0000,57546,59810,43.0,43.0
