"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,LineCode,Description,2024
01119,"Sumter, AL",3,Per capita personal income (dollars) 2,43035
01121,"Talladega, AL",1,Personal income (thousands of dollars),3723512
01121,"Talladega, AL",2,Population (persons) 1,81375
01121,"Talladega, AL",3,Per capita personal income (dollars) 2,45757
01123,"Tallapoosa, AL",1,Personal income (thousands of dollars),2243189
01123,"Tallapoosa, AL",2,Population (persons) 1,40699
01123,"Tallapoosa, AL",3,Per capita personal income (dollars) 2,55117
01125,"Tuscaloosa, AL",1,Personal income (thousands of dollars),11263555
01125,"Tuscaloosa, AL",2,Population (persons) 1,241212
01125,"Tuscaloosa, AL",3,Per capita personal income (dollars) 2,46696
01127,"Walker, AL",1,Personal income (thousands of dollars),3577564
01127,"Walker, AL",2,Population (persons) 1,65260
01127,"Walker, AL",3,Per capita personal income (dollars) 2,54820
01129,"Washington, AL",1,Personal income (thousands of dollars),759103
01129,"Washington, AL",2,Population (persons) 1,15018
01129,"Washington, AL",3,Per capita personal income (dollars) 2,50546
01131,"Wilcox, AL",1,Personal income (thousands of dollars),440075
01131,"Wilcox, AL",2,Population (persons) 1,9865
01131,"Wilcox, AL",3,Per capita personal income (dollars) 2,44610
01133,"Winston, AL",1,Personal income (thousands of dollars),1128539
01133,"Winston, AL",2,Population (persons) 1,23869
01133,"Winston, AL",3,Per capita personal income (dollars) 2,47281
02010,"Aleutian Islands Census Area, AK*",1,Personal income (thousands of dollars),(NA)
02010,"Aleutian Islands Census Area, AK*",2,Population (persons) 1,(NA)
02010,"Aleutian Islands Census Area, AK*",3,Per capita personal income (dollars) 2,(NA)
02013,"Aleutians East Borough, AK*",1,Personal income (thousands of dollars),180233
02013,"Aleutians East Borough, AK*",2,Population (persons) 1,3632
02013,"Aleutians East Borough, AK*",3,Per capita personal income (dollars) 2,49624
02016,"Aleutians West Census Area, AK*",1,Personal income (thousands of dollars),377922
02016,"Aleutians West Census Area, AK*",2,Population (persons) 1,5424
02016,"Aleutians West Census Area, AK*",3,Per capita personal income (dollars) 2,69676
02020,"Anchorage Municipality, AK",1,Personal income (thousands of dollars),24433471
02020,"Anchorage Municipality, AK",2,Population (persons) 1,289600
02020,"Anchorage Municipality, AK",3,Per capita personal income (dollars) 2,84370
02050,"Bethel Census Area, AK*",1,Personal income (thousands of dollars),924730
02050,"Bethel Census Area, AK*",2,Population (persons) 1,18237
02050,"Bethel Census Area, AK*",3,Per capita personal income (dollars) 2,50706
