"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2022,2023,2024
08117,"Summit, CO",3006272,3286752,3483766
08119,"Teller, CO",1566007,1668435,1756521
08121,"Washington, CO",259090,249734,231901
08123,"Weld, CO*",20746942,22185330,23542333
08125,"Yuma, CO",525856,565330,551582
09001,"Fairfield, CT*",126650456,136488724,(NA)
09003,"Hartford, CT*",64816853,68540762,(NA)
09005,"Litchfield, CT*",14404292,15031674,(NA)
09007,"Middlesex, CT*",12729400,13427992,(NA)
09009,"New Haven, CT*",56424053,59369050,(NA)
09011,"New London, CT*",17884248,18915834,(NA)
09013,"Tolland, CT*",9744151,10345777,(NA)
09015,"Windham, CT*",6357968,6610040,(NA)
09110,"Capitol, CT*",(NA),(NA),82016501
09120,"Greater Bridgeport, CT*",(NA),(NA),35881828
09130,"Lower Connecticut River Valley, CT*",(NA),(NA),15494529
09140,"Naugatuck Valley, CT*",(NA),(NA),33498879
09150,"Northeastern Connecticut, CT*",(NA),(NA),6548412
09160,"Northwest Hills, CT*",(NA),(NA),9519798
09170,"South Central Connecticut, CT*",(NA),(NA),42657860
09180,"Southeastern Connecticut, CT*",(NA),(NA),18325394
09190,"Western Connecticut, CT*",(NA),(NA),105433862
10001,"Kent, DE",9569502,10041990,10689379
10003,"New Castle, DE",38752046,38503156,40936704
10005,"Sussex, DE",17065330,18398647,19968131
11001,"District of Columbia, DC",68247037,73296229,78079526
12001,"Alachua, FL",15014010,16315123,17178223
12003,"Baker, FL",1241239,1312645,1396462
12005,"Bay, FL",10014228,10825503,11603904
12007,"Bradford, FL",1136558,1221239,1293539
12009,"Brevard, FL",36094219,39392610,42250307
12011,"Broward, FL",131427027,143383838,151804008
12013,"Calhoun, FL",482982,518305,550672
12015,"Charlotte, FL",10693397,11897881,12726271
12017,"Citrus, FL",7386237,8047307,8638330
12019,"Clay, FL",12259704,13193615,14040147
12021,"Collier, FL",52150073,58929932,62493250
12023,"Columbia, FL",3114392,3381307,3554767
12027,"DeSoto, FL",1180852,1278793,1320493
12029,"Dixie, FL",579819,634844,667030
12031,"Duval, FL",57954688,62576226,66211611
