admin_code,admin_level,region_name_en,region_name_ru,country_iso,federal_district,occupation_category,occupation_code,wage_value,currency,wage_period,wage_measure,survey_type,year,population,parent_admin_code,classification_system,data_availability,source,last_updated
87,1,Komi Republic,Республика Коми,RU,Northwestern,Total,,97935,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
11,1,Arkhangelsk Oblast,Архангельская область,RU,Northwestern,Total,,76367.9,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
11,1,Arkhangelsk Oblast,Архангельская область,RU,Northwestern,Total,,86404.1,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
11,1,Arkhangelsk Oblast,Архангельская область,RU,Northwestern,Total,,96694.6,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
RU-NAO-SUB-ARK,1,Nenets AO (within Arkhangelsk Oblast),в том числе Ненецкий авт.округ,RU,Northwestern,Total,,119386.4,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
RU-NAO-SUB-ARK,1,Nenets AO (within Arkhangelsk Oblast),в том числе Ненецкий авт.округ,RU,Northwestern,Total,,135205.6,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
RU-NAO-SUB-ARK,1,Nenets AO (within Arkhangelsk Oblast),в том числе Ненецкий авт.округ,RU,Northwestern,Total,,147999.4,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
RU-ARK-EXAO,1,Arkhangelsk Oblast (excl. Nenets AO),Архангельская область без авт. округа,RU,Northwestern,Total,,72540.2,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
RU-ARK-EXAO,1,Arkhangelsk Oblast (excl. Nenets AO),Архангельская область без авт. округа,RU,Northwestern,Total,,82025.5,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
RU-ARK-EXAO,1,Arkhangelsk Oblast (excl. Nenets AO),Архангельская область без авт. округа,RU,Northwestern,Total,,92131.9,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
