admin_code,admin_level,region_name_en,region_name_ja,country_iso,region_block,occupation_category,occupation_code,occupation_level,wage_value,wage_unit,currency,wage_measure,year,population,parent_admin_code,classification_system,data_availability,source,last_updated
25,1,Shiga,滋賀県,JP,Kinki,Total,,total,348.6,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
25,1,Shiga,滋賀県,JP,Kinki,Total,,total,312.9,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
25,1,Shiga,滋賀県,JP,Kinki,Total,,total,917.1,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
26,1,Kyoto,京都府,JP,Kinki,Total,,total,354.4,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
26,1,Kyoto,京都府,JP,Kinki,Total,,total,323.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
26,1,Kyoto,京都府,JP,Kinki,Total,,total,909.3,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
27,1,Osaka,大阪府,JP,Kinki,Total,,total,376.9,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
27,1,Osaka,大阪府,JP,Kinki,Total,,total,348,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
27,1,Osaka,大阪府,JP,Kinki,Total,,total,1040.9,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
28,1,Hyogo,兵庫県,JP,Kinki,Total,,total,349.1,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
28,1,Hyogo,兵庫県,JP,Kinki,Total,,total,318.8,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
28,1,Hyogo,兵庫県,JP,Kinki,Total,,total,940.8,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
29,1,Nara,奈良県,JP,Kinki,Total,,total,343.5,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
29,1,Nara,奈良県,JP,Kinki,Total,,total,312.7,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
29,1,Nara,奈良県,JP,Kinki,Total,,total,783.3,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
30,1,Wakayama,和歌山県,JP,Kinki,Total,,total,323.1,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
30,1,Wakayama,和歌山県,JP,Kinki,Total,,total,297.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
30,1,Wakayama,和歌山県,JP,Kinki,Total,,total,812.1,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
31,1,Tottori,鳥取県,JP,Chugoku,Total,,total,291.1,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
31,1,Tottori,鳥取県,JP,Chugoku,Total,,total,269.1,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
31,1,Tottori,鳥取県,JP,Chugoku,Total,,total,592.9,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
32,1,Shimane,島根県,JP,Chugoku,Total,,total,295.8,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
32,1,Shimane,島根県,JP,Chugoku,Total,,total,269.3,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
32,1,Shimane,島根県,JP,Chugoku,Total,,total,757.2,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
33,1,Okayama,岡山県,JP,Chugoku,Total,,total,325.4,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
33,1,Okayama,岡山県,JP,Chugoku,Total,,total,296.9,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
33,1,Okayama,岡山県,JP,Chugoku,Total,,total,791.2,thousand_yen_per_month,JPY,annual_special_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
34,1,Hiroshima,広島県,JP,Chugoku,Total,,total,344.4,thousand_yen_per_month,JPY,contractual_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
34,1,Hiroshima,広島県,JP,Chugoku,Total,,total,312.7,thousand_yen_per_month,JPY,scheduled_cash_earnings,2024,,JP-NAT,JIS_X_0401,prefecture,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040247959&fileKind=4,2025-03-17
